num_nodes,num_edges,density,avg_degree,degree_variance,true_label,pred_label,avg_token_ratio,avg_layer_gate,correct
188,451,0.02565707133916667,4.797872543334961,1.9697825908660889,0,1,0.4346640110015869,0.0027095796540379524,0
108,268,0.04638283142952026,4.962963104248047,2.572701930999756,0,1,0.5344855785369873,0.006216513458639383,0
101,222,0.04396039603956043,4.3960394859313965,2.2589943408966064,0,1,0.5376454591751099,0.0061854091472923756,0
290,653,0.015582866006441286,4.503448486328125,2.4224019050598145,0,0,0.4061049818992615,0.0018280443036928773,1
381,1027,0.014187042409171556,5.39107608795166,2.5635950565338135,0,0,0.4204234480857849,0.0013047369429841638,1
224,613,0.02454356181934166,5.473214149475098,2.2046396732330322,0,0,0.48353666067123413,0.0022337979171425104,1
80,177,0.05601265822775948,4.425000190734863,2.2693748474121094,0,1,0.5444111824035645,0.008364323526620865,0
499,1575,0.012675954318274594,6.312625408172607,3.4774160385131836,0,0,0.4094236493110657,0.001233853166922927,1
416,1331,0.015419369786838772,6.399038314819336,2.802306890487671,0,0,0.4090990722179413,0.0012521572643890977,1
394,1137,0.01468593792381817,5.771573543548584,2.7549281120300293,0,0,0.4166579842567444,0.001320165698416531,1
266,631,0.01790324868775459,4.74436092376709,2.1451752185821533,0,0,0.5378667712211609,0.0018717063358053565,1
327,753,0.01412731468452617,4.605504512786865,2.4835171699523926,0,0,0.5011798739433289,0.00159414391964674,1
272,641,0.017392012155413313,4.713235378265381,2.2339425086975098,0,0,0.5336771011352539,0.001879699993878603,1
729,1999,0.007533276051794428,5.484224796295166,2.4856905937194824,0,0,0.4033634066581726,0.0006063652108423412,1
402,936,0.011612759146908127,4.656716346740723,2.50404691696167,0,1,0.47006016969680786,0.0012678491184487939,0
323,716,0.013768436436358117,4.433436393737793,1.9050118923187256,0,0,0.5185269117355347,0.0014975181547924876,1
436,1153,0.012158599599282286,5.2889909744262695,2.3843741416931152,0,0,0.41002315282821655,0.0010802729520946741,1
194,435,0.023235938251155594,4.484536170959473,2.2600700855255127,0,0,0.5394153594970703,0.0028036972507834435,1
310,993,0.020732853116189505,6.40645170211792,4.221894264221191,0,1,0.484167218208313,0.002905771369114518,0
401,1135,0.014152119700747246,5.6608476638793945,2.2291154861450195,0,0,0.4175459146499634,0.0011229439405724406,1
128,331,0.04072342519682534,5.171875,2.267333984375,0,1,0.5414257049560547,0.004567076452076435,0
302,838,0.018437438120171346,5.549668788909912,2.7972021102905273,0,0,0.48324549198150635,0.0018540134187787771,1
471,1151,0.010398879703663079,4.8874735832214355,2.431074619293213,0,0,0.4199697971343994,0.0010273639345541596,1
592,1662,0.009500617368637401,5.614864826202393,2.7874817848205566,0,0,0.40847086906433105,0.0008159903809428215,1
173,498,0.03347224089258184,5.757225513458252,3.085569143295288,0,1,0.5409637689590454,0.004040311556309462,0
571,1592,0.009782775678249615,5.5761823654174805,3.1864027976989746,0,0,0.43906331062316895,0.0009619392221793532,1
445,1063,0.010760198400647293,4.777528285980225,2.1370229721069336,0,0,0.475937157869339,0.001049994956701994,1
1019,2831,0.005458180619313539,5.556427955627441,3.0456383228302,0,0,0.4051201343536377,0.0004630915354937315,1
664,1848,0.00839557324319885,5.566265106201172,2.5407896041870117,0,0,0.4032977223396301,0.0006798693211749196,1
305,827,0.017838654012077456,5.422950744628906,2.6637356281280518,0,0,0.5174449682235718,0.0017630720976740122,1
336,742,0.013184079601988878,4.416666507720947,2.082341194152832,0,0,0.4970652461051941,0.001468733069486916,1
272,739,0.02005100933362003,5.433823585510254,2.547091245651245,0,1,0.5305480360984802,0.001958245411515236,0
240,558,0.019456066945603305,4.650000095367432,2.319166660308838,0,0,0.424534410238266,0.0021652537398040295,1
