num_nodes,num_edges,density,avg_degree,degree_variance,true_label,pred_label,avg_token_ratio,avg_layer_gate,correct
377,894,0.012613578644392134,4.742705345153809,2.843613624572754,0,0,0.40479907393455505,0.0007432732381857932,1
312,761,0.015685547036027734,4.878205299377441,2.3249094486236572,0,0,0.4499208629131317,0.0008020082022994757,1
224,497,0.019899103139009472,4.4375,1.74609375,0,0,0.682410717010498,0.0010465709492564201,1
221,633,0.026038667215132448,5.728506565093994,3.0756125450134277,0,0,0.6851423978805542,0.0017945326399058104,1
151,404,0.03567328918320721,5.3509931564331055,3.3271350860595703,0,0,0.6771543025970459,0.0032374532893300056,1
344,802,0.013594141975726016,4.662790775299072,2.409545660018921,0,0,0.4048689305782318,0.0007163780392147601,1
138,347,0.03670792341053808,5.028985500335693,2.332493305206299,0,1,0.6884269118309021,0.002525174291804433,0
252,599,0.01894011256560758,4.753968238830566,2.455341339111328,0,0,0.4501008689403534,0.0011230491800233722,1
775,2093,0.006978411269483922,5.401290416717529,4.242836952209473,0,0,0.4054984450340271,0.0004501586954575032,1
329,756,0.014011416709910482,4.595744609832764,2.28338623046875,0,0,0.6665303111076355,0.0007248830515891314,1
561,1422,0.009052711993888176,5.069518566131592,2.2179837226867676,0,0,0.4465060532093048,0.0003489420923870057,1
265,647,0.01849628359062057,4.883018970489502,2.307070016860962,0,0,0.6920343637466431,0.0009990852558985353,1
317,875,0.017469951683103314,5.520504951477051,2.760620594024658,0,0,0.4433961808681488,0.0009425306343473494,1
322,882,0.017066233238519277,5.4782609939575195,2.9886577129364014,0,0,0.4306451380252838,0.0009950046660378575,1
310,746,0.01557573859484126,4.81290340423584,1.9843498468399048,0,0,0.46882566809654236,0.0007169750751927495,1
241,623,0.021542185338862114,5.170124530792236,2.722095012664795,0,1,0.6982912421226501,0.00135165941901505,0
580,1394,0.00830206658328842,4.806896686553955,2.024779796600342,0,0,0.4049031436443329,0.0003313040069770068,1
208,467,0.021692679301369918,4.490384578704834,2.1922152042388916,0,1,0.6906065940856934,0.0013164130505174398,0
411,1260,0.014954602100764644,6.131386756896973,2.693199872970581,0,0,0.45183122158050537,0.0006846220348961651,1
245,720,0.024088323854127788,5.877551078796387,2.319700241088867,0,1,0.6709153652191162,0.0012424451997503638,0
162,368,0.028218694885350733,4.543210029602051,2.519737720489502,0,0,0.6684961318969727,0.002128481399267912,1
