num_nodes,true_label,pred_label,avg_token_ratio,avg_layer_gate,correct
327,0,0,0.40045368671417236,0.0017898832447826862,1
351,0,0,0.4003908932209015,0.0017502293922007084,1
503,0,0,0.4002467393875122,0.001077418914064765,1
377,0,0,0.4003417491912842,0.0015058743301779032,1
146,0,0,0.4011276662349701,0.004230988211929798,1
312,0,0,0.40042316913604736,0.0018046442419290543,1
237,0,0,0.40079930424690247,0.0027629416435956955,1
315,0,0,0.40041977167129517,0.0018278942443430424,1
224,0,0,0.400651752948761,0.002716007875278592,1
257,0,0,0.4005425274372101,0.0023108336608856916,1
221,0,0,0.40090322494506836,0.003013055771589279,1
151,0,0,0.40163806080818176,0.004947385750710964,1
5748,0,0,0.40001997351646423,0.0001360099413432181,1
68,0,1,0.4038586914539337,0.011273326352238655,0
363,0,0,0.40041297674179077,0.0016206428408622742,1
435,0,0,0.40034112334251404,0.0013598417863249779,1
344,0,0,0.4003840982913971,0.0016884965589269996,1
284,0,0,0.40046998858451843,0.0019921117927879095,1
218,0,0,0.4007948935031891,0.0028815115801990032,1
620,0,0,0.4002220928668976,0.0010942458175122738,1
394,0,0,0.40035414695739746,0.0014490517787635326,1
216,0,0,0.40076783299446106,0.0028576792683452368,1
440,0,0,0.4002974033355713,0.0013626948930323124,1
442,0,0,0.400288850069046,0.0013186532305553555,1
611,0,0,0.4002366065979004,0.0009547376539558172,1
498,0,0,0.40025803446769714,0.0011966468300670385,1
138,0,0,0.40140849351882935,0.004787151701748371,1
355,0,0,0.4004029631614685,0.0016244794242084026,1
252,0,0,0.4005662500858307,0.002310684649273753,1
775,0,0,0.4001871943473816,0.0008025470306165516,1
390,0,0,0.4003627896308899,0.001644291914999485,1
540,0,0,0.4002377390861511,0.0011223575565963984,1
1021,0,0,0.400107204914093,0.0005307337269186974,1
292,0,0,0.4005347788333893,0.002064822008833289,1
329,0,0,0.4004065692424774,0.0017870872979983687,1
481,0,0,0.4002689719200134,0.0012436237884685397,1
95,0,1,0.4018641710281372,0.00677472073584795,0
388,0,0,0.400328129529953,0.0014454530319198966,1
561,0,0,0.4002188444137573,0.0010232178028672934,1
265,0,0,0.40052735805511475,0.0021643578074872494,1
372,0,0,0.4003738760948181,0.001536688068881631,1
574,0,0,0.4002210795879364,0.001052445382811129,1
483,0,0,0.40038159489631653,0.0013528846902772784,1
268,0,0,0.4005260169506073,0.0022503132931888103,1
316,0,0,0.40042006969451904,0.0018306237179785967,1
317,0,0,0.40048837661743164,0.0018805372528731823,1
392,0,0,0.40035367012023926,0.001455097459256649,1
119,0,1,0.402194082736969,0.006352422758936882,0
241,0,0,0.4005810022354126,0.0024037049151957035,1
58,0,1,0.40649038553237915,0.01567552424967289,0
534,0,0,0.40024060010910034,0.0011369861895218492,1
364,0,0,0.40035566687583923,0.0015337453223764896,1
322,0,0,0.40049684047698975,0.0018936311826109886,1
288,0,0,0.4004821181297302,0.0020805238746106625,1
414,0,0,0.40030229091644287,0.0013355608098208904,1
310,0,0,0.40042802691459656,0.0018476364202797413,1
241,0,0,0.4006707966327667,0.0025297338142991066,1
