num_nodes,true_label,pred_label,avg_token_ratio,avg_layer_gate,correct
188,0,1,0.21514269709587097,0.035984013229608536,0
108,0,1,0.215427964925766,0.03601423650979996,0
174,0,0,0.21521234512329102,0.036053188145160675,1
452,0,0,0.2157813310623169,0.03772987797856331,1
697,0,0,0.21565541625022888,0.03740594536066055,1
340,0,0,0.21528692543506622,0.03620631992816925,1
255,0,0,0.21558138728141785,0.03655838221311569,1
431,0,0,0.21532893180847168,0.03640803322196007,1
258,0,0,0.21531686186790466,0.03605172038078308,1
393,0,0,0.21546435356140137,0.036268118768930435,1
242,0,0,0.21528972685337067,0.03617618978023529,1
557,0,0,0.21677248179912567,0.038723260164260864,1
534,0,0,0.2159155011177063,0.03803171217441559,1
101,0,1,0.21525274217128754,0.036007266491651535,0
492,0,0,0.2155403345823288,0.03713049739599228,1
208,0,0,0.21568122506141663,0.03636861592531204,1
254,0,0,0.21567238867282867,0.03659477084875107,1
123,0,0,0.2149980664253235,0.03556250035762787,1
500,0,0,0.21570385992527008,0.03749086707830429,1
290,0,0,0.21556952595710754,0.03706476092338562,1
241,0,0,0.21507467329502106,0.035675544291734695,1
346,0,0,0.2151900976896286,0.03591800108551979,1
355,0,0,0.21535813808441162,0.03666655346751213,1
168,0,0,0.21519863605499268,0.035841405391693115,1
349,0,1,0.21550294756889343,0.03673377260565758,0
144,0,1,0.215267613530159,0.03619547560811043,0
384,0,0,0.21555617451667786,0.036998651921749115,1
124,0,0,0.2158382385969162,0.036845747381448746,1
274,0,0,0.2154172658920288,0.03681374713778496,1
381,0,0,0.2152838557958603,0.03624831885099411,1
224,0,0,0.2151915431022644,0.035850055515766144,1
80,0,1,0.2153913527727127,0.03609553724527359,0
182,0,1,0.21543139219284058,0.0360107347369194,0
275,0,1,0.2151501178741455,0.0360778346657753,0
255,0,1,0.21531254053115845,0.036459024995565414,0
504,0,1,0.21564477682113647,0.03744538500905037,0
336,0,0,0.21576091647148132,0.03726170212030411,1
361,0,1,0.2155645489692688,0.037200577557086945,0
499,0,0,0.21553441882133484,0.03628747537732124,1
383,0,0,0.2151903510093689,0.03580055013298988,1
416,0,0,0.21549637615680695,0.036248207092285156,1
166,0,1,0.21526075899600983,0.03575341776013374,0
349,0,0,0.2156170904636383,0.0366404689848423,1
306,0,0,0.21532003581523895,0.03653055801987648,1
130,0,1,0.21539083123207092,0.036486878991127014,0
483,0,1,0.215635284781456,0.03733177110552788,0
132,0,1,0.21511924266815186,0.03568950295448303,0
394,0,0,0.21515978872776031,0.035827524960041046,1
266,0,0,0.21543359756469727,0.036713503301143646,1
334,0,0,0.2153349220752716,0.03670302778482437,1
336,0,0,0.21532410383224487,0.03623773530125618,1
455,0,0,0.21554051339626312,0.037024758756160736,1
316,0,0,0.21552814543247223,0.03672746568918228,1
207,0,0,0.21543362736701965,0.03616318106651306,1
243,0,0,0.21605776250362396,0.037086714059114456,1
363,0,0,0.21524681150913239,0.03595981001853943,1
269,0,0,0.2151438146829605,0.035640086978673935,1
214,0,0,0.21538174152374268,0.03672429174184799,1
252,0,0,0.2153097242116928,0.03608302026987076,1
316,0,0,0.21539218723773956,0.03647815063595772,1
296,0,0,0.21574723720550537,0.03659278154373169,1
158,0,1,0.21521031856536865,0.036139748990535736,0
560,0,0,0.2159181833267212,0.037782348692417145,1
404,0,0,0.21516570448875427,0.035896770656108856,1
327,0,0,0.2154139280319214,0.036763519048690796,1
99,0,0,0.2165059745311737,0.03717505931854248,1
334,0,0,0.2149987518787384,0.03543904051184654,1
406,0,0,0.2153373658657074,0.035974230617284775,1
292,0,0,0.21539416909217834,0.03636965528130531,1
278,0,0,0.21539272367954254,0.03671150654554367,1
272,0,0,0.21552474796772003,0.03689686208963394,1
729,0,0,0.21531230211257935,0.03653070703148842,1
